obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temp,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3771301803,14,3.483969927,3779218459,3779218533,3771301803,0,internal_timestamp,71.59300232,1562313003,33.89559937,1,7.585299969,1026.798105,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('1',)",3771301803,14,3.484060049,3779218459,3779218533,3771301803,0,internal_timestamp,71.59899902,1562313003,33.89649963,0,7.585199833,1026.798854,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('2',)",3771301803,14,3.483959913,3779218459,3779218533,3771301803,0,internal_timestamp,71.60099792,1562313003,33.895401,0,7.585199833,1026.798,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('3',)",3771301803,14,3.483969927,3779218459,3779218533,3771301803,0,internal_timestamp,71.59300232,1562313003,33.89559937,0,7.585199833,1026.798119,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('4',)",3771301803,14,3.484060049,3779218459,3779218533,3771301803,0,internal_timestamp,71.59899902,1562313003,33.89649963,0,7.585199833,1026.798854,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('5',)",3771301803,14,3.483779907,3779218459,3779218533,3771301803,0,internal_timestamp,71.60500336,1562313003,33.89339828,0,7.585299969,1026.796431,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('6',)",3771301803,14,3.483910084,3779218459,3779218533,3771301803,0,internal_timestamp,71.60800171,1562313003,33.8946991,0,7.585400105,1026.797452,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('7',)",3771301803,14,3.48390007,3779218459,3779218533,3771301803,0,internal_timestamp,71.60099792,1562313003,33.89490128,0,7.585100174,1026.797622,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('8',)",3771301803,14,3.483829975,3779218459,3779218533,3771301803,0,internal_timestamp,71.60199738,1562313003,33.89410019,0,7.585199833,1026.796983,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('9',)",3771301803,14,3.483779907,3779218459,3779218533,3771301803,0,internal_timestamp,71.60500336,1562313003,33.89350128,0,7.585299969,1026.796512,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('10',)",3771301803,14,3.483799934,3779218459,3779218533,3771301803,0,internal_timestamp,71.60500336,1562313003,33.89360046,0,7.585400105,1026.796575,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('11',)",3771301803,14,3.483860016,3779218459,3779218533,3771301803,0,internal_timestamp,71.60800171,1562313003,33.89410019,0,7.585400105,1026.796982,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('12',)",3771301803,14,3.483930111,3779218459,3779218533,3771301803,0,internal_timestamp,71.61399841,1562313003,33.89479828,0,7.585499763,1026.797543,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('13',)",3771301803,14,3.483969927,3779218459,3779218533,3771301803,0,internal_timestamp,71.61599731,1562313003,33.89530182,0,7.585499763,1026.797948,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('14',)",3771301804,14,3.48397994,3779218459,3779218533,3771301804,0,internal_timestamp,71.61499786,1562313004,33.895401,0,7.585499763,1026.798021,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('15',)",3771301804,14,3.483989954,3779218459,3779218533,3771301804,0,internal_timestamp,71.61799622,1562313004,33.89550018,0,7.585499763,1026.798113,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
