obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temp,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3696393182,5,3.643759966,3742011295,3742011295,3696393182,0,internal_timestamp,69.8219986,1487404382,32.68310165,0,10.66030025,1025.351948,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('1',)",3696393182,5,3.643719912,3742011295,3742011295,3696393182,0,internal_timestamp,69.82299805,1487404382,32.68270111,0,10.66030025,1025.351641,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('2',)",3696393182,5,3.643790007,3742011295,3742011295,3696393182,0,internal_timestamp,69.81999969,1487404382,32.68360138,0,10.66009998,1025.352363,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('3',)",3696393182,5,3.643759966,3742011295,3742011295,3696393182,0,internal_timestamp,69.8219986,1487404382,32.68320084,0,10.66030025,1025.352026,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('4',)",3696393182,5,3.643719912,3742011295,3742011295,3696393182,0,internal_timestamp,69.82299805,1487404382,32.68289948,0,10.66009998,1025.35183,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('5',)",3696393182,5,3.643610001,3742011295,3742011295,3696393182,0,internal_timestamp,69.8219986,1487404382,32.68159866,0,10.66030025,1025.350778,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('6',)",3696393182,5,3.643790007,3742011295,3742011295,3696393182,0,internal_timestamp,69.82099915,1487404382,32.68330002,0,10.66040039,1025.352081,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('7',)",3696393182,5,3.643650055,3742011295,3742011295,3696393182,0,internal_timestamp,69.81999969,1487404382,32.68209839,0,10.66020012,1025.351176,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('8',)",3696393182,5,3.643569946,3742011295,3742011295,3696393182,0,internal_timestamp,69.8239975,1487404382,32.68130112,0,10.66020012,1025.350573,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('9',)",3696393182,5,3.643539906,3742011295,3742011295,3696393182,0,internal_timestamp,69.82099915,1487404382,32.68090057,0,10.66030025,1025.35023,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('10',)",3696393182,5,3.643589973,3742011295,3742011295,3696393182,0,internal_timestamp,69.8219986,1487404382,32.68130112,0,10.66040039,1025.350529,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('11',)",3696393182,5,3.643699884,3742011295,3742011295,3696393182,0,internal_timestamp,69.82099915,1487404382,32.68239975,0,10.66049957,1025.351363,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('12',)",3696393182,5,3.643830061,3742011295,3742011295,3696393182,0,internal_timestamp,69.82299805,1487404382,32.68360138,0,10.66059971,1025.35229,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('13',)",3696393182,5,3.64387989,3742011295,3742011295,3696393182,0,internal_timestamp,69.8219986,1487404382,32.68399811,0,10.66069984,1025.352577,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('14',)",3696393182,5,3.643889904,3742011295,3742011295,3696393182,0,internal_timestamp,69.82099915,1487404382,32.6841011,0,10.66069984,1025.352652,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('15',)",3696393182,5,3.643889904,3742011295,3742011295,3696393182,0,internal_timestamp,69.81999969,1487404382,32.6841011,0,10.66069984,1025.352648,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('16',)",3696393183,5,3.643909931,3742011295,3742011295,3696393183,0,internal_timestamp,69.81800079,1487404383,32.68420029,0,10.66079998,1025.352698,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('17',)",3696393183,5,3.643919945,3742011295,3742011295,3696393183,0,internal_timestamp,69.82099915,1487404383,32.68429947,0,10.66079998,1025.352789,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('18',)",3696393183,5,3.643929958,3742011295,3742011295,3696393183,0,internal_timestamp,69.8239975,1487404383,32.68439865,0,10.66079998,1025.35288,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('19',)",3696393183,5,3.643919945,3742011295,3742011295,3696393183,0,internal_timestamp,69.82299805,1487404383,32.68429947,0,10.66079998,1025.352798,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('20',)",3696393183,5,3.643919945,3742011295,3742011295,3696393183,0,internal_timestamp,69.81999969,1487404383,32.68429947,0,10.66079998,1025.352785,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('21',)",3696393183,5,3.643909931,3742011295,3742011295,3696393183,0,internal_timestamp,69.81999969,1487404383,32.68429947,0,10.66069984,1025.352802,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('22',)",3696393183,5,3.643909931,3742011295,3742011295,3696393183,0,internal_timestamp,69.81800079,1487404383,32.68429947,0,10.66069984,1025.352793,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('23',)",3696393183,5,3.643899918,3742011295,3742011295,3696393183,0,internal_timestamp,69.81999969,1487404383,32.68420029,0,10.66069984,1025.352725,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('24',)",3696393183,5,3.643899918,3742011295,3742011295,3696393183,0,internal_timestamp,69.81999969,1487404383,32.6841011,0,10.66069984,1025.352648,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('25',)",3696393183,5,3.643889904,3742011295,3742011295,3696393183,0,internal_timestamp,69.81900024,1487404383,32.6841011,0,10.66069984,1025.352643,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('26',)",3696393183,5,3.643889904,3742011295,3742011295,3696393183,0,internal_timestamp,69.81600189,1487404383,32.68399811,0,10.66079998,1025.352532,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('27',)",3696393183,5,3.643899918,3742011295,3742011295,3696393183,0,internal_timestamp,69.81999969,1487404383,32.6841011,0,10.66079998,1025.35263,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('28',)",3696393183,5,3.643909931,3742011295,3742011295,3696393183,0,internal_timestamp,69.81800079,1487404383,32.68420029,0,10.66079998,1025.352698,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
"('29',)",3696393183,5,3.643919945,3742011295,3742011295,3696393183,0,internal_timestamp,69.81500244,1487404383,32.68429947,0,10.66079998,1025.352762,29,13,29,13,29,29,29,13,29,29,44.6372,-124.299071
