obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3771100889,5,33.37689972,3774706963,3774706965,3771100889,0,internal_timestamp,577.25,644971,1562112088,5.48029995,3.337689972,34.11714958,1029.58556,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('1',)",3771100909,5,33.45429993,3774706963,3774706965,3771100909,0,internal_timestamp,573.460022,648028,1562112108,5.581999779,3.345429993,34.10417986,1029.544382,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('2',)",3771100929,5,33.56940079,3774706963,3774706965,3771100929,0,internal_timestamp,568.3699951,643938,1562112128,5.733300209,3.356940079,34.0845053,1029.485166,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('3',)",3771100949,5,33.58060074,3774706963,3774706965,3771100949,0,internal_timestamp,563.210022,641398,1562112148,5.747700214,3.358060074,34.08520216,1029.460132,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('4',)",3771100969,5,33.5719986,3774706963,3774706965,3771100969,0,internal_timestamp,558.039978,645978,1562112168,5.740499973,3.35719986,34.08527468,1029.437489,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('5',)",3771100989,5,33.57379913,3774706963,3774706965,3771100989,0,internal_timestamp,552.8499756,649834,1562112188,5.745299816,3.357379913,34.08503246,1029.412877,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('6',)",3771101009,5,33.62369919,3774706963,3774706965,3771101009,0,internal_timestamp,547.7199707,638171,1562112208,5.807899952,3.362369919,34.08091664,1029.377646,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('7',)",3771101029,5,33.65340042,3774706963,3774706965,3771101029,0,internal_timestamp,542.4899902,644113,1562112228,5.84800005,3.365340042,34.07667391,1029.344898,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('8',)",3771101049,5,33.67010117,3774706963,3774706965,3771101049,0,internal_timestamp,537.2600098,650651,1562112248,5.871399879,3.367010117,34.07455343,1029.31609,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('9',)",3771101069,5,33.67430115,3774706963,3774706965,3771101069,0,internal_timestamp,531.9699707,648451,1562112268,5.877999783,3.367430115,34.07525156,1029.291515,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('10',)",3771101089,5,33.67440033,3774706963,3774706965,3771101089,0,internal_timestamp,526.710022,643189,1562112288,5.880599976,3.367440033,34.07533527,1029.267138,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('11',)",3771101109,5,33.66360092,3774706963,3774706965,3771101109,0,internal_timestamp,521.3900146,651897,1562112308,5.869699955,3.366360092,34.07673336,1029.245356,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('12',)",3771101129,5,33.66719818,3774706963,3774706965,3771101129,0,internal_timestamp,516.0999756,648780,1562112328,5.877500057,3.366719818,34.07555219,1029.219133,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('13',)",3771101149,5,33.65750122,3774706963,3774706965,3771101149,0,internal_timestamp,510.7399902,644727,1562112348,5.868599892,3.365750122,34.07620577,1029.196302,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('14',)",3771101169,5,33.65219879,3774706963,3774706965,3771101169,0,internal_timestamp,505.3599854,649716,1562112368,5.869100094,3.365219879,34.07238207,1029.168574,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('15',)",3771101189,5,33.65380096,3774706963,3774706965,3771101189,0,internal_timestamp,500.0799866,647876,1562112388,5.873600006,3.365380096,34.07226558,1029.143664,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('16',)",3771101209,5,33.65480042,3774706963,3774706965,3771101209,0,internal_timestamp,494.730011,641853,1562112408,5.877299786,3.365480042,34.07230889,1029.118664,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('17',)",3771101229,5,33.65359879,3774706963,3774706965,3771101229,0,internal_timestamp,489.4200134,645703,1562112428,5.878900051,3.365359879,34.07196356,1029.093824,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('18',)",3771101249,5,33.65879822,3774706963,3774706965,3771101249,0,internal_timestamp,484.1099854,647220,1562112448,5.888000011,3.365879822,34.07129557,1029.067713,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('19',)",3771101269,5,33.66059875,3774706963,3774706965,3771101269,0,internal_timestamp,478.7399902,650442,1562112468,5.89260006,3.366059875,34.07134883,1029.042501,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('20',)",3771101289,5,33.66139984,3774706963,3774706965,3771101289,0,internal_timestamp,473.480011,653567,1562112488,5.897099972,3.366139984,34.07032498,1029.016958,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('21',)",3771101309,5,33.66970062,3774706963,3774706965,3771101309,0,internal_timestamp,468.1499939,650248,1562112508,5.909699917,3.366970062,34.06964496,1028.990267,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('22',)",3771101329,5,33.7030983,3774706963,3774706965,3771101329,0,internal_timestamp,462.7799988,650325,1562112528,5.952499866,3.37030983,34.06690676,1028.95768,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('23',)",3771101349,5,33.71220016,3774706963,3774706965,3771101349,0,internal_timestamp,457.4400024,649263,1562112548,5.965099812,3.371220016,34.06712786,1028.931649,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('24',)",3771101369,5,33.72249985,3774706963,3774706965,3771101369,0,internal_timestamp,452.1499939,648963,1562112568,5.980500221,3.372249985,34.0658622,1028.904296,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('25',)",3771101389,5,33.74229813,3774706963,3774706965,3771101389,0,internal_timestamp,446.8299866,653717,1562112588,6.007699966,3.374229813,34.06344975,1028.874299,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('26',)",3771101409,5,33.74259949,3774706963,3774706965,3771101409,0,internal_timestamp,441.5299988,668566,1562112608,6.010200024,3.374259949,34.06389076,1028.849992,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('27',)",3771101429,5,33.74739838,3774706963,3774706965,3771101429,0,internal_timestamp,436.1900024,656468,1562112628,6.019899845,3.374739838,34.06218686,1028.822834,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('28',)",3771101449,5,33.75939941,3774706963,3774706965,3771101449,0,internal_timestamp,430.8299866,652723,1562112648,6.039400101,3.375939941,34.05875716,1028.792893,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('29',)",3771101469,5,33.76789856,3774706963,3774706965,3771101469,0,internal_timestamp,425.480011,649582,1562112668,6.053199768,3.376789856,34.05710313,1028.765169,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('30',)",3771101489,5,33.80130005,3774706963,3774706965,3771101489,0,internal_timestamp,420.1799927,656764,1562112688,6.098100185,3.380130005,34.05220385,1028.730887,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('31',)",3771101509,5,33.84999847,3774706963,3774706965,3771101509,0,internal_timestamp,414.9100037,654607,1562112708,6.160999775,3.384999847,34.04640281,1028.693559,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('32',)",3771101529,5,33.88100052,3774706963,3774706965,3771101529,0,internal_timestamp,409.5799866,660101,1562112728,6.201300144,3.388100052,34.04341135,1028.661238,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('33',)",3771101549,5,33.90660095,3774706963,3774706965,3771101549,0,internal_timestamp,404.3500061,665299,1562112748,6.232900143,3.390660095,34.04301524,1028.632602,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('34',)",3771101569,5,33.95209885,3774706963,3774706965,3771101569,0,internal_timestamp,399.0499878,657122,1562112768,6.287199974,3.395209885,34.04219076,1028.600169,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('35',)",3771101589,5,33.96709824,3774706963,3774706965,3771101589,0,internal_timestamp,393.8599854,653181,1562112788,6.305900097,3.396709824,34.04280184,1028.574263,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('36',)",3771101609,5,33.97439957,3774706963,3774706965,3771101609,0,internal_timestamp,388.5799866,651795,1562112808,6.316699982,3.397439957,34.04275458,1028.548514,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('37',)",3771101629,5,33.98559952,3774706963,3774706965,3771101629,0,internal_timestamp,383.3500061,661912,1562112828,6.332600117,3.398559952,34.04194119,1028.521687,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('38',)",3771101649,5,33.98540115,3774706963,3774706965,3771101649,0,internal_timestamp,378.0899963,651700,1562112848,6.334700108,3.398540115,34.0422028,1028.49747,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('39',)",3771101669,5,33.98559952,3774706963,3774706965,3771101669,0,internal_timestamp,372.7799988,652086,1562112868,6.337600231,3.398559952,34.04213418,1028.472651,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('40',)",3771101689,5,33.99449921,3774706963,3774706965,3771101689,0,internal_timestamp,367.5700073,659230,1562112888,6.350399971,3.399449921,34.04183937,1028.446747,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('41',)",3771101709,5,34.00419998,3774706963,3774706965,3771101709,0,internal_timestamp,362.2799988,657812,1562112908,6.365200043,3.400419998,34.0404821,1028.419364,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('42',)",3771101729,5,34.00540161,3774706963,3774706965,3771101729,0,internal_timestamp,356.9700012,658471,1562112928,6.368999958,3.400540161,34.04063516,1028.39459,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('43',)",3771101749,5,34.00669861,3774706963,3774706965,3771101749,0,internal_timestamp,351.6300049,659662,1562112948,6.374300003,3.400669861,34.03941575,1028.368389,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('44',)",3771101769,5,34.00590134,3774706963,3774706965,3771101769,0,internal_timestamp,346.3599854,658545,1562112968,6.376399994,3.400590134,34.03902024,1028.343589,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('45',)",3771101789,5,34.00439835,3774706963,3774706965,3771101789,0,internal_timestamp,341.1000061,661305,1562112988,6.379000187,3.400439835,34.03733754,1028.317751,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('46',)",3771101809,5,34.00400162,3774706963,3774706965,3771101809,0,internal_timestamp,335.7200012,656031,1562113008,6.384399891,3.400400162,34.03415731,1028.289797,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
