obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3655497659,2,32.97679901,3724598763,3724598763,3655497659,0,internal_timestamp,576.6500244,772164,1446508858,4.991099834,3.297679901,34.15658941,1029.677757,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('1',)",3655497669,2,32.979599,3724598763,3724598763,3655497669,0,internal_timestamp,575.0100098,775377,1446508868,4.995299816,3.2979599,34.15635207,1029.669497,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('2',)",3655497680,2,32.99879837,3724598763,3724598763,3655497680,0,internal_timestamp,572.6900024,780926,1446508879,5.025000095,3.299879837,34.14932328,1029.649491,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('3',)",3655497691,2,33.06010056,3724598763,3724598763,3655497691,0,internal_timestamp,570.5999756,775707,1446508890,5.111700058,3.306010056,34.13250201,1029.615477,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('4',)",3655497702,2,33.06980133,3724598763,3724598763,3655497702,0,internal_timestamp,568.6300049,782147,1446508901,5.124400139,3.306980133,34.13169744,1029.604156,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('5',)",3655497713,2,33.07180023,3724598763,3724598763,3655497713,0,internal_timestamp,566.539978,788567,1446508912,5.126699924,3.307180023,34.13269673,1029.595047,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('6',)",3655497724,2,33.08539963,3724598763,3724598763,3655497724,0,internal_timestamp,564.3499756,786173,1446508923,5.14620018,3.308539963,34.12955651,1029.579994,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('7',)",3655497735,2,33.1106987,3724598763,3724598763,3655497735,0,internal_timestamp,562.2399902,780666,1446508934,5.181000233,3.31106987,34.12423131,1029.561603,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('8',)",3655497746,2,33.11880112,3724598763,3724598763,3655497746,0,internal_timestamp,560,785851,1446508945,5.191899776,3.311880112,34.12355641,1029.549372,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('9',)",3655497757,2,33.1230011,3724598763,3724598763,3655497757,0,internal_timestamp,557.9400024,781140,1446508956,5.197700024,3.31230011,34.12350276,1029.539117,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('10',)",3655497768,2,33.12609863,3724598763,3724598763,3655497768,0,internal_timestamp,555.9000244,784209,1446508967,5.2020998,3.312609863,34.12359935,1029.529255,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('11',)",3655497780,2,33.1257019,3724598763,3724598763,3655497780,0,internal_timestamp,553.3300171,782165,1446508979,5.203199863,3.31257019,34.12331269,1029.517084,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('12',)",3655497791,2,33.12530136,3724598763,3724598763,3655497791,0,internal_timestamp,550.9400024,787209,1446508990,5.206099987,3.312530136,34.12110427,1029.503991,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('13',)",3655497801,2,33.1310997,3724598763,3724598763,3655497801,0,internal_timestamp,548.8599854,789583,1446509000,5.216899872,3.31310997,34.11781407,1029.490445,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('14',)",3655497812,2,33.13190079,3724598763,3724598763,3655497812,0,internal_timestamp,546.6400146,795066,1446509011,5.218599796,3.313190079,34.11811431,1029.480266,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('15',)",3655497823,2,33.1352005,3724598763,3724598763,3655497823,0,internal_timestamp,544.2199707,789659,1446509022,5.224500179,3.31352005,34.11710928,1029.467594,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('16',)",3655497834,2,33.14110184,3724598763,3724598763,3655497834,0,internal_timestamp,541.8300171,798305,1446509033,5.235199928,3.314110184,34.11419415,1029.452932,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('17',)",3655497846,2,33.14020157,3724598763,3724598763,3655497846,0,internal_timestamp,539.289978,790147,1446509045,5.235300064,3.314020157,34.11433235,1029.441361,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
